"Country","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","Life.expectancy"
"Afghanistan",269.0625,78.25,0.014375,34.9601100659375,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.01542546875,9972259.8125,16.58125,15.58125,0.415375,8.2125,58.19375
"Albania",45.0625,0.6875,4.84875,193.259090710625,98,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.726678875,696911.625,1.61875,1.7,0.709875,12.1375,75.15625
"Algeria",108.1875,20.3125,0.406666666666667,236.185240668625,78,1943.875,48.74375,23.5,91.75,4.604,91.875,0.1,2847.8533923125,21649827.4375,6.09375,5.975,0.694875,12.7125,73.61875
"Angola",328.5625,83.75,5.74066666666667,102.10026837,70.2222222222222,3561.3125,18.01875,132.625,46.125,3.91933333333333,47.6875,2.36875,1975.14304511875,10147099.1875,6.19375,6.66875,0.458375,8.04375,49.01875
"Antigua and Barbuda",127.5,0,7.94933333333333,1001.58522632875,98.2666666666667,0,38.425,0,96.9375,4.79133333333333,98.3125,0.125,9759.305728125,NA,3.425,3.375,0.488625,8.84375,75.05625
"Argentina",106,10.125,7.96666666666667,773.038981313125,81.2857142857143,2,54.98125,11.375,93.375,6.91266666666667,92.375,0.1,6998.575103125,20121204.5,1.075,0.95,0.794125,16.50625,75.15625
"Armenia",117.375,1,3.70266666666667,131.0074187505,87.5625,274.25,44.70625,1,89.125,4.86133333333333,87.375,0.1,1999.98631765,1015164.625,2.0375,2.1125,0.698375,11.7875,73.4
"Australia",63.1875,1,10.1553333333333,5332.2264727375,93.4,103.9375,55.8625,1.375,86.75,8.83666666666667,86.875,0.1,34637.565046875,4587009.875,0.66875,0.625,0.918125,20.0375,81.8125
"Austria",65.75,0,12.236,4928.4391880525,81.0625,77.25,48.2875,0,86,4.71533333333333,86.75,0.1,33827.47630875,6474879.875,1.73125,1.9375,0.862375,15.3875,81.48125
"Azerbaijan",115.1875,6.0625,0.992,131.148746914813,59.2142857142857,598.1875,43.84375,7.1875,75.8125,5.67933333333333,82.3125,0.1,3302.94780699375,2157370.5,2.9,2.94375,0.7026875,11.35,70.73125
"Bahamas",152.0625,0,10.2713333333333,0,83.6,0,52.88125,0,95,6.706,95.75,0.11875,NA,NA,2.55,2.51875,0.7379375,12.425,74.2875
"Bahrain",65.375,0,1.93466666666667,602.087139648875,98.125,6.6875,51.65625,0,98,3.80733333333333,98.0625,0.1,11191.247420625,NA,6.10625,5.95,0.8079375,14.1125,75.725
"Bangladesh",141.375,153.625,0.01,32.3209715146875,77.6153846153846,4649.9375,12.875,201.5625,87.5,2.85466666666667,92.75,0.1,443.561481025,42985163.875,13.775,14.33125,0.517875,8.69375,69.3
"Barbados",77.625,0,8.20666666666667,389.07699521375,84.0666666666667,0,45.975,0,80.3125,6.122,89.9375,0.25625,12017.098529375,NA,3.95625,3.91875,0.7704375,14.89375,74.35625
"Belarus",218.75,0.5625,13.4973333333333,329.046455333125,88.9375,24.8125,54.74375,0.875,89.875,6.192,92.1875,0.1,3811.525348,6371866.8125,2.2125,2.3375,0.74325,14.75,69.90625
"Belgium",70.1875,0.25,11.0426666666667,2392.43265675625,74.5,81.5625,50.89375,1,97.75,5.962,97.3125,0.1,16915.306,2884042.5625,0.8625,0.85625,0.87775,16.7875,80.68125
"Belize",155.5,0,6.25266666666667,365.843489793125,94.75,0,37.675,0,95.5,5.03933333333333,95.1875,0.43125,3933.0121745,170392.875,3.55625,3.4875,0.6939375,12.45625,69.26875
"Benin",269.375,25,1,43.99195641925,62.5714285714286,1116.875,19.6125,39.25,67.6875,4.636,67.9375,1.70625,561.167968,3942978.9375,8.25,8.1375,0.4380625,8.85,57.56875
"Bhutan",230.25,0.6875,0.278666666666667,134.76406995375,94.125,80.25,17.58125,0.9375,89.375,5.346,93.875,0.35625,1353.98694560625,492584.9375,17.21875,17.925,0.183875,10.225,66.1625
"Bolivia (Plurinational State of)",177.5,10.75,3.212,0,82.875,7.625,44.81875,14,81.6875,5.626,87.375,0.15625,NA,NA,1.3,1.1875,0.63375,13.9625,67.70625
"Bosnia and Herzegovina",64.9375,0,4.40533333333333,215.45745909825,71.6666666666667,319.1875,48.9625,0,78.3125,8.742,78.5,0.1,2245.0260235625,1986993.0625,2.78125,2.75625,0.450375,12.225,75.96875
"Botswana",448.125,2,4.67,334.266970872187,87.3125,237.875,32.24375,3.125,96.1875,5.51066666666667,95.8125,16.525,4498.2854311875,1063867.375,7.4375,7.8125,0.630375,12.1375,56.05
"Brazil",150.6875,68.25,7.21333333333333,390.695595171875,96.1875,95.375,47.0625,77.25,98.3125,8.01933333333333,97.9375,0.1,6143.1617935,88128071.25,3.05,3.0125,0.7101875,14.1625,73.38125
"Brunei Darussalam",67.0625,0,0.378666666666667,1276.87948524813,97.875,7.3125,29.71875,0,97.5,2.82,96.8125,0.1,19744.808101875,NA,6.2,5.675,0.839375,14.10625,76.4875
"Bulgaria",125.5,0.9375,10.8653333333333,350.74520402625,94.5,1530.3125,54.5,1,94.25,7.236,94,0.1,4938.981821375,5290923.9375,2.13125,2.15625,0.754625,13.725,72.85
"Burkina Faso",252.5,44.75,4.24133333333333,52.0455813263125,81.1,5091.75,15.5,79.9375,69,6.038,77.3125,1.8375,410.3720343125,6143694.8125,7.41875,6.98125,0.2296875,5.40625,55.64375
"Burundi",291.5625,23.25,4.10333333333333,15.335497774875,93.3333333333333,1349.5,15.3125,35.5625,86.625,7.08933333333333,85.75,3.0875,137.81532131875,3915446.6875,8.01875,8.0125,0.327875,7.48125,55.5375
"Côte d'Ivoire",417.3125,61.5,2.83733333333333,0,63.9333333333333,1708.25,21.325,86.8125,65.9375,5.72333333333333,68.9375,4.6875,NA,NA,6.7375,6.69375,NA,NA,50.3875
"Cabo Verde",116.1875,0,3.448,188.632987378187,80.6428571428571,0.125,24.375,0,84.375,4.75533333333333,79,0.53125,2023.54103925,292600.25,8.0125,7.975,0.57,12.2,72.51875
"Cambodia",196.375,16.75,1.486,33.7965609773125,79.6,1880.8125,15.3625,20.5,74.1875,5.74066666666667,72.0625,1.025,466.19687805,7145967.4375,10.14375,10.88125,0.4919375,9.875,64.34375
"Cameroon",294.875,54.9375,4.14133333333333,44.4622999386875,76.8181818181818,2979.25,23.61875,86.1875,72.5,4.71933333333333,69.4375,6.2125,781.0160044125,9967291.9375,6.55,6.60625,0.47,8.90625,54.01875
"Canada",64.625,2,8.05333333333333,4694.078971425,28.8461538461538,129.5,55.8625,2,85.3125,7.052,91.0625,0.1,29382.907523125,11364053.8125,0.50625,0.4375,0.8921875,15.875,81.6875
"Central African Republic",333.0625,16.5,1.23133333333333,40.905543112125,42.5714285714286,699.4375,17.0875,24.5,41.3125,4.03933333333333,42.4375,8.98125,363.05590485,2016546.125,7.10625,7.0875,0.3355,6.2375,48.5125
"Chad",227.75,44.875,0.411333333333333,32.2773204970625,29.875,4687.75,16.31875,78.125,32.875,4.37933333333333,26.8125,4.3375,484.79169405625,4114092.0625,7.14375,7.04375,0.316625,6.0875,50.3875
"Chile",63.625,2,6.978,775.54081278375,77.2,1.0625,55.5875,2.1875,83.625,6.91133333333333,88.8125,0.1,6202.3443635625,14671763.9375,0.8875,0.9125,0.8013125,14.9,79.45
"China",73.75,294.875,4.182,73.5837628956875,80.4375,65857.9375,21.80625,350,93.6875,4.918,93.3125,0.1,2345.3031576875,321812.0625,4.6375,4.025,0.66025,11.4375,74.2625
"Colombia",124.25,13.875,4.41933333333333,516.640179215,79,9.5,49.54375,16.375,84.25,6.34,79.1875,0.1,3321.6607483125,31767432.625,2.3,2.075,0.681875,12.23125,73.2875
"Comoros",240.9375,1.6875,0.134666666666667,47.7314576225,76.4615384615385,62.625,18.25625,2,67.8125,4.832,66.9375,0.28125,630.38433406875,532200.6875,7.275,7.1625,0.324625,9.95625,61.58125
"Congo",322.75,7.875,2.17333333333333,0,50.7777777777778,1021.625,20.925,11.6875,52.4375,2.98666666666667,55.25,4.9875,NA,NA,8.4875,8.125,0.5283125,10.0875,59.04375
"Cook Islands",NA,0,0.01,0,98,0,82.8,0,98,3.58,98,0.1,NA,NA,0.1,0.1,NA,NA,NA
"Costa Rica",69.375,1,3.92466666666667,972.359149879375,79.3125,0.1875,46.725,1,69.9375,8.62,79.75,0.1,3957.22728625,2309299.4375,1.9625,1.90625,0.7369375,12.8375,78.59375
"Croatia",89,0,12.448,1162.85632917,96.2222222222222,23.6875,52.35625,0,95.5,7.37066666666667,95.375,0.1,9056.7847190625,1159772.375,1.74375,1.71875,0.7890625,13.8875,76.11875
"Cuba",57.5625,1,4.19066666666667,364.563858083687,96.25,0,49.4625,1,98.6875,6.42866666666667,93.9375,0.1,3180.4348844375,NA,3.44375,3.26875,0.742125,14.69375,77.975
"Cyprus",54.125,0,10.2606666666667,932.6673898875,92.625,1.9375,53.1625,0,98,6.76,98,0.1,13898.88550125,390274.375,0.90625,1,0.8330625,13.51875,79.675
"Czechia",71.8125,0,13.026,0,97.2857142857143,22.9375,55.7125,0,98,7.05,98.125,0.1,NA,NA,1.99375,2.0625,NA,NA,76.76875
"Democratic People's Republic of Korea",160.8125,9.9375,3,0,88.8461538461538,222.5625,25.625,12.8125,98.25,NA,83.25,0.1,NA,NA,5.4375,5.45,NA,NA,69.19375
"Democratic Republic of the Congo",265.375,234.5,1.424,0,51.3333333333333,48922.6875,15.8375,323.5,55.625,3.55866666666667,41.875,1.81875,NA,NA,8.14375,7.95625,NA,NA,55.6875
"Denmark",66.0625,0,10.708,5313.33579445625,NA,15.75,55.825,0,88,7.82266666666667,88,0.1,33067.407915625,4260081.375,1.1625,0.9375,0.899875,17.19375,79.25625
